2025-09-06 17:12:20.951 | INFO     | __main__:37 | 🔧 调度器初始化开始
2025-09-06 17:12:20.951 | INFO     | __main__:42 | ✅ 配置加载成功: localhost:8081
2025-09-06 17:12:20.951 | INFO     | __main__:48 | 🔧 初始化管理器组件...
2025-09-06 17:12:20.957 | INFO     | __main__:52 | ✅ 任务管理器初始化完成
2025-09-06 17:12:20.960 | INFO     | __main__:59 | ✅ 队列管理器初始化完成
2025-09-06 17:12:20.960 | INFO     | __main__:66 | ✅ 节点管理器初始化完成
2025-09-06 17:12:20.960 | INFO     | __main__:72 | 🎉 调度器初始化完成
2025-09-06 17:12:20.960 | INFO     | __main__:76 | 🚀 启动调度器服务...
2025-09-06 17:12:20.960 | INFO     | __main__:80 | 🔧 启动任务管理器...
2025-09-06 17:12:20.960 | INFO     | __main__:83 | 🔧 启动队列管理器...
2025-09-06 17:12:20.960 | INFO     | __main__:86 | 🔧 启动节点管理器...
2025-09-06 17:12:20.960 | INFO     | __main__:92 | 🎉 调度器启动成功!
2025-09-06 17:12:20.960 | INFO     | __main__:93 | 🌐 监听地址: localhost:8081
2025-09-06 17:12:20.960 | INFO     | __main__:94 | 📋 等待任务和节点连接...
2025-09-06 17:13:07.039 | INFO     | __main__:38 | 🔧 工作节点初始化开始
2025-09-06 17:13:07.039 | INFO     | __main__:43 | ✅ 配置加载成功: localhost:8081
2025-09-06 17:14:00.131 | INFO     | __main__:38 | 🔧 工作节点初始化开始
2025-09-06 17:14:00.132 | INFO     | __main__:43 | ✅ 配置加载成功: localhost:8081
2025-09-06 17:14:00.177 | INFO     | __main__:96 | ✅ 自动检测节点能力完成
2025-09-06 17:14:00.180 | INFO     | __main__:80 | ✅ 工作节点初始化完成: 6465b926-3768-45b3-8bf1-a699b96d261c
2025-09-06 17:14:00.182 | INFO     | __main__:187 | ✅ 已连接到调度器: localhost
2025-09-06 17:40:44.189 | INFO     | __main__:12 | ℹ️ 这是一条信息日志
2025-09-06 17:40:44.190 | SUCCESS  | __main__:13 | ✅ 这是一条成功日志
2025-09-06 17:40:44.190 | WARNING  | __main__:14 | ⚠️ 这是一条警告日志
2025-09-06 17:40:44.191 | ERROR    | __main__:15 | ❌ 这是一条错误日志
2025-09-06 17:40:44.191 | SUCCESS  | lama_cleaner.logging_config:170 | 系统初始化成功！
2025-09-06 17:40:44.191 | INFO     | lama_cleaner.logging_config:181 | 系统已安全关闭
2025-09-06 17:40:54.070 | INFO     | __main__:37 | 🔧 调度器初始化开始
2025-09-06 17:40:54.071 | INFO     | __main__:42 | ✅ 配置加载成功: localhost:8081
2025-09-06 17:40:54.071 | INFO     | __main__:48 | 🔧 初始化管理器组件...
2025-09-06 17:40:54.081 | INFO     | __main__:52 | ✅ 任务管理器初始化完成
2025-09-06 17:40:54.083 | INFO     | __main__:59 | ✅ 队列管理器初始化完成
2025-09-06 17:40:54.083 | INFO     | __main__:66 | ✅ 节点管理器初始化完成
2025-09-06 17:40:54.083 | INFO     | __main__:72 | 🎉 调度器初始化完成
2025-09-06 17:40:54.083 | INFO     | __main__:76 | 🚀 启动调度器服务...
2025-09-06 17:40:54.083 | INFO     | __main__:80 | 🔧 启动任务管理器...
2025-09-06 17:40:54.084 | INFO     | __main__:83 | 🔧 启动队列管理器...
2025-09-06 17:40:54.084 | INFO     | __main__:86 | 🔧 启动节点管理器...
2025-09-06 17:40:54.084 | INFO     | __main__:92 | 🎉 调度器启动成功!
2025-09-06 17:40:54.084 | INFO     | __main__:93 | 🌐 监听地址: localhost:8081
2025-09-06 17:40:54.084 | INFO     | __main__:94 | 📋 等待任务和节点连接...
2025-09-06 17:41:25.892 | INFO     | __main__:34 | 🔧 调度器初始化开始
2025-09-06 17:41:25.892 | INFO     | __main__:39 | ✅ 配置加载成功: localhost:8081
2025-09-06 17:41:25.893 | INFO     | __main__:53 | 🔧 初始化管理器组件...
2025-09-06 17:41:25.898 | INFO     | __main__:57 | ✅ 任务管理器初始化完成
2025-09-06 17:41:25.900 | INFO     | __main__:64 | ✅ 队列管理器初始化完成
2025-09-06 17:41:25.900 | INFO     | __main__:71 | ✅ 节点管理器初始化完成
2025-09-06 17:41:25.901 | INFO     | __main__:77 | 🎉 调度器初始化完成
2025-09-06 17:41:25.901 | INFO     | __main__:81 | 🚀 启动调度器服务...
2025-09-06 17:41:25.901 | INFO     | __main__:85 | 🔧 启动任务管理器...
2025-09-06 17:41:25.901 | INFO     | __main__:88 | 🔧 启动队列管理器...
2025-09-06 17:41:25.901 | INFO     | __main__:91 | 🔧 启动节点管理器...
2025-09-06 17:41:25.901 | INFO     | __main__:97 | 🎉 调度器启动成功!
2025-09-06 17:41:25.901 | INFO     | __main__:98 | 🌐 监听地址: localhost:8081
2025-09-06 17:41:25.901 | INFO     | __main__:99 | 📋 等待任务和节点连接...
2025-09-06 20:38:07.692 | INFO     | __main__:32 | 🔧 开始测试日志系统...
2025-09-06 20:38:07.693 | INFO     | __main__:34 | ℹ️ 这是普通信息
2025-09-06 20:38:07.694 | WARNING  | __main__:35 | ⚠️ 这是警告信息
2025-09-06 20:38:07.694 | ERROR    | __main__:36 | ❌ 这是错误信息
2025-09-06 20:38:07.694 | SUCCESS  | lama_cleaner.logging_config:170 | ✅ 测试成功日志
2025-09-06 20:38:07.694 | INFO     | __main__:42 | 📊 测试结构化日志
2025-09-06 20:38:07.694 | INFO     | lama_cleaner.logging_config:181 | 系统已安全关闭
